predicate,domain_class,range_class,notes
destines_at,Shipment,Organization,Union signature; validate the concrete class pair at ingestion time.
destines_at,Delivery,Site,Union signature; validate the concrete class pair at ingestion time.
destines_at,Delivery,Address,Union signature; validate the concrete class pair at ingestion time.
destines_at,Delivery,Person,Union signature; validate the concrete class pair at ingestion time.
destines_at,Delivery,Organization,Union signature; validate the concrete class pair at ingestion time.
has_estimate,TransportRoute,RouteEstimate,Union signature; validate the concrete class pair at ingestion time.
executes,Delivery,DeliveryRequest,Union signature; validate the concrete class pair at ingestion time.
executes,Delivery,Shipment,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Delivery,Evidence,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Delivery,ProofOfPickup,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Delivery,ProofOfDelivery,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Delivery,DocumentVersion,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Payment,Evidence,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Payment,ProofOfPickup,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Payment,ProofOfDelivery,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Payment,DocumentVersion,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Inspection,Evidence,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Inspection,ProofOfPickup,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Inspection,ProofOfDelivery,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Inspection,DocumentVersion,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Approval,Evidence,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Approval,ProofOfPickup,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Approval,ProofOfDelivery,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Approval,DocumentVersion,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Claim,Evidence,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Claim,ProofOfPickup,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Claim,ProofOfDelivery,Union signature; validate the concrete class pair at ingestion time.
evidenced_by,Claim,DocumentVersion,Union signature; validate the concrete class pair at ingestion time.
updates,Delivery,InventoryPosition,Union signature; validate the concrete class pair at ingestion time.
updates,Delivery,SiteInventory,Union signature; validate the concrete class pair at ingestion time.
updates,GoodsReceipt,InventoryPosition,Union signature; validate the concrete class pair at ingestion time.
updates,GoodsReceipt,SiteInventory,Union signature; validate the concrete class pair at ingestion time.
updates,InventoryEvent,InventoryPosition,Union signature; validate the concrete class pair at ingestion time.
updates,InventoryEvent,SiteInventory,Union signature; validate the concrete class pair at ingestion time.
creates_obligation,Contract,Obligation,Union signature; validate the concrete class pair at ingestion time.
creates_obligation,Contract,ConditionPrecedent,Union signature; validate the concrete class pair at ingestion time.
creates_obligation,Rule,Obligation,Union signature; validate the concrete class pair at ingestion time.
creates_obligation,Rule,ConditionPrecedent,Union signature; validate the concrete class pair at ingestion time.
creates_obligation,Approval,Obligation,Union signature; validate the concrete class pair at ingestion time.
creates_obligation,Approval,ConditionPrecedent,Union signature; validate the concrete class pair at ingestion time.
performed_by,Obligation,PartyRole,Union signature; validate the concrete class pair at ingestion time.
performed_by,Obligation,ProjectRoleAssignment,Union signature; validate the concrete class pair at ingestion time.
performed_by,Obligation,Person,Union signature; validate the concrete class pair at ingestion time.
performed_by,Obligation,Organization,Union signature; validate the concrete class pair at ingestion time.
performed_by,Installation,PartyRole,Union signature; validate the concrete class pair at ingestion time.
performed_by,Installation,ProjectRoleAssignment,Union signature; validate the concrete class pair at ingestion time.
performed_by,Installation,Person,Union signature; validate the concrete class pair at ingestion time.
performed_by,Installation,Organization,Union signature; validate the concrete class pair at ingestion time.
performed_by,Inspection,PartyRole,Union signature; validate the concrete class pair at ingestion time.
performed_by,Inspection,ProjectRoleAssignment,Union signature; validate the concrete class pair at ingestion time.
performed_by,Inspection,Person,Union signature; validate the concrete class pair at ingestion time.
performed_by,Inspection,Organization,Union signature; validate the concrete class pair at ingestion time.
performed_by,Measurement,PartyRole,Union signature; validate the concrete class pair at ingestion time.
performed_by,Measurement,ProjectRoleAssignment,Union signature; validate the concrete class pair at ingestion time.
performed_by,Measurement,Person,Union signature; validate the concrete class pair at ingestion time.
performed_by,Measurement,Organization,Union signature; validate the concrete class pair at ingestion time.
performed_by,Valuation,PartyRole,Union signature; validate the concrete class pair at ingestion time.
performed_by,Valuation,ProjectRoleAssignment,Union signature; validate the concrete class pair at ingestion time.
performed_by,Valuation,Person,Union signature; validate the concrete class pair at ingestion time.
performed_by,Valuation,Organization,Union signature; validate the concrete class pair at ingestion time.
due_by,Obligation,Milestone,Union signature; validate the concrete class pair at ingestion time.
due_by,Obligation,Deadline,Union signature; validate the concrete class pair at ingestion time.
due_by,Obligation,ProjectPhase,Union signature; validate the concrete class pair at ingestion time.
due_by,Task,Milestone,Union signature; validate the concrete class pair at ingestion time.
due_by,Task,Deadline,Union signature; validate the concrete class pair at ingestion time.
due_by,Task,ProjectPhase,Union signature; validate the concrete class pair at ingestion time.
due_by,ProcurementLine,Milestone,Union signature; validate the concrete class pair at ingestion time.
due_by,ProcurementLine,Deadline,Union signature; validate the concrete class pair at ingestion time.
due_by,ProcurementLine,ProjectPhase,Union signature; validate the concrete class pair at ingestion time.
tests_or_inspects,Inspection,BuildingElement,Union signature; validate the concrete class pair at ingestion time.
tests_or_inspects,Inspection,Product,Union signature; validate the concrete class pair at ingestion time.
tests_or_inspects,Inspection,Delivery,Union signature; validate the concrete class pair at ingestion time.
tests_or_inspects,Inspection,Installation,Union signature; validate the concrete class pair at ingestion time.
tests_or_inspects,Test,BuildingElement,Union signature; validate the concrete class pair at ingestion time.
tests_or_inspects,Test,Product,Union signature; validate the concrete class pair at ingestion time.
tests_or_inspects,Test,Delivery,Union signature; validate the concrete class pair at ingestion time.
tests_or_inspects,Test,Installation,Union signature; validate the concrete class pair at ingestion time.
produces_result,Inspection,Acceptance,Union signature; validate the concrete class pair at ingestion time.
produces_result,Inspection,Nonconformance,Union signature; validate the concrete class pair at ingestion time.
produces_result,Inspection,Defect,Union signature; validate the concrete class pair at ingestion time.
produces_result,Test,Acceptance,Union signature; validate the concrete class pair at ingestion time.
produces_result,Test,Nonconformance,Union signature; validate the concrete class pair at ingestion time.
produces_result,Test,Defect,Union signature; validate the concrete class pair at ingestion time.
corrected_by,Defect,CorrectiveAction,Union signature; validate the concrete class pair at ingestion time.
corrected_by,Nonconformance,CorrectiveAction,Union signature; validate the concrete class pair at ingestion time.
corrected_by,Issue,CorrectiveAction,Union signature; validate the concrete class pair at ingestion time.
corrected_by,Risk,CorrectiveAction,Union signature; validate the concrete class pair at ingestion time.
modifies,Variation,Contract,Union signature; validate the concrete class pair at ingestion time.
modifies,Variation,Scope,Union signature; validate the concrete class pair at ingestion time.
modifies,Variation,BOQ,Union signature; validate the concrete class pair at ingestion time.
modifies,Variation,Programme,Union signature; validate the concrete class pair at ingestion time.
modifies,Variation,ProjectRequirement,Union signature; validate the concrete class pair at ingestion time.
modifies,ChangeOrder,Contract,Union signature; validate the concrete class pair at ingestion time.
modifies,ChangeOrder,Scope,Union signature; validate the concrete class pair at ingestion time.
modifies,ChangeOrder,BOQ,Union signature; validate the concrete class pair at ingestion time.
modifies,ChangeOrder,Programme,Union signature; validate the concrete class pair at ingestion time.
modifies,ChangeOrder,ProjectRequirement,Union signature; validate the concrete class pair at ingestion time.
modifies,ContractVersion,Contract,Union signature; validate the concrete class pair at ingestion time.
modifies,ContractVersion,Scope,Union signature; validate the concrete class pair at ingestion time.
modifies,ContractVersion,BOQ,Union signature; validate the concrete class pair at ingestion time.
modifies,ContractVersion,Programme,Union signature; validate the concrete class pair at ingestion time.
modifies,ContractVersion,ProjectRequirement,Union signature; validate the concrete class pair at ingestion time.
arises_from,Claim,BusinessEvent,Union signature; validate the concrete class pair at ingestion time.
arises_from,Claim,Notice,Union signature; validate the concrete class pair at ingestion time.
arises_from,Claim,Contract,Union signature; validate the concrete class pair at ingestion time.
arises_from,Dispute,BusinessEvent,Union signature; validate the concrete class pair at ingestion time.
arises_from,Dispute,Notice,Union signature; validate the concrete class pair at ingestion time.
arises_from,Dispute,Contract,Union signature; validate the concrete class pair at ingestion time.
arises_from,Variation,BusinessEvent,Union signature; validate the concrete class pair at ingestion time.
arises_from,Variation,Notice,Union signature; validate the concrete class pair at ingestion time.
arises_from,Variation,Contract,Union signature; validate the concrete class pair at ingestion time.
secures,Bond,Contract,Union signature; validate the concrete class pair at ingestion time.
secures,Bond,Obligation,Union signature; validate the concrete class pair at ingestion time.
secures,Bond,Project,Union signature; validate the concrete class pair at ingestion time.
secures,Guarantee,Contract,Union signature; validate the concrete class pair at ingestion time.
secures,Guarantee,Obligation,Union signature; validate the concrete class pair at ingestion time.
secures,Guarantee,Project,Union signature; validate the concrete class pair at ingestion time.
secures,InsurancePolicy,Contract,Union signature; validate the concrete class pair at ingestion time.
secures,InsurancePolicy,Obligation,Union signature; validate the concrete class pair at ingestion time.
secures,InsurancePolicy,Project,Union signature; validate the concrete class pair at ingestion time.
has_verification_case,Person,VerificationCase,Union signature; validate the concrete class pair at ingestion time.
has_verification_case,Organization,VerificationCase,Union signature; validate the concrete class pair at ingestion time.
has_verification_case,Vehicle,VerificationCase,Union signature; validate the concrete class pair at ingestion time.
has_verification_case,Facility,VerificationCase,Union signature; validate the concrete class pair at ingestion time.
has_verification_case,Project,VerificationCase,Union signature; validate the concrete class pair at ingestion time.
has_check,VerificationCase,VerificationCheck,Union signature; validate the concrete class pair at ingestion time.
supported_by,VerificationCheck,VerificationEvidence,Union signature; validate the concrete class pair at ingestion time.
supported_by,VerificationCheck,Evidence,Union signature; validate the concrete class pair at ingestion time.
supported_by,VerificationCheck,ProvenanceRecord,Union signature; validate the concrete class pair at ingestion time.
supported_by,RuleApplicability,VerificationEvidence,Union signature; validate the concrete class pair at ingestion time.
supported_by,RuleApplicability,Evidence,Union signature; validate the concrete class pair at ingestion time.
supported_by,RuleApplicability,ProvenanceRecord,Union signature; validate the concrete class pair at ingestion time.
supported_by,Recommendation,VerificationEvidence,Union signature; validate the concrete class pair at ingestion time.
supported_by,Recommendation,Evidence,Union signature; validate the concrete class pair at ingestion time.
supported_by,Recommendation,ProvenanceRecord,Union signature; validate the concrete class pair at ingestion time.
supported_by,Claim,VerificationEvidence,Union signature; validate the concrete class pair at ingestion time.
supported_by,Claim,Evidence,Union signature; validate the concrete class pair at ingestion time.
supported_by,Claim,ProvenanceRecord,Union signature; validate the concrete class pair at ingestion time.
supported_by,PaymentCertificate,VerificationEvidence,Union signature; validate the concrete class pair at ingestion time.
supported_by,PaymentCertificate,Evidence,Union signature; validate the concrete class pair at ingestion time.
supported_by,PaymentCertificate,ProvenanceRecord,Union signature; validate the concrete class pair at ingestion time.
caused_by,BusinessEvent,Actor,Union signature; validate the concrete class pair at ingestion time.
caused_by,BusinessEvent,BusinessEvent,Union signature; validate the concrete class pair at ingestion time.
caused_by,BusinessEvent,AIJob,Union signature; validate the concrete class pair at ingestion time.
caused_by,StateTransition,Actor,Union signature; validate the concrete class pair at ingestion time.
caused_by,StateTransition,BusinessEvent,Union signature; validate the concrete class pair at ingestion time.
caused_by,StateTransition,AIJob,Union signature; validate the concrete class pair at ingestion time.
caused_by,AuditEvent,Actor,Union signature; validate the concrete class pair at ingestion time.
caused_by,AuditEvent,BusinessEvent,Union signature; validate the concrete class pair at ingestion time.
caused_by,AuditEvent,AIJob,Union signature; validate the concrete class pair at ingestion time.
affects,BusinessEvent,Entity,Union signature; validate the concrete class pair at ingestion time.
affects,BusinessEvent,Project,Union signature; validate the concrete class pair at ingestion time.
affects,BusinessEvent,Product,Union signature; validate the concrete class pair at ingestion time.
affects,BusinessEvent,Order,Union signature; validate the concrete class pair at ingestion time.
affects,BusinessEvent,Payment,Union signature; validate the concrete class pair at ingestion time.
affects,BusinessEvent,Delivery,Union signature; validate the concrete class pair at ingestion time.
affects,Decision,Entity,Union signature; validate the concrete class pair at ingestion time.
affects,Decision,Project,Union signature; validate the concrete class pair at ingestion time.
affects,Decision,Product,Union signature; validate the concrete class pair at ingestion time.
affects,Decision,Order,Union signature; validate the concrete class pair at ingestion time.
affects,Decision,Payment,Union signature; validate the concrete class pair at ingestion time.
affects,Decision,Delivery,Union signature; validate the concrete class pair at ingestion time.
affects,Recommendation,Entity,Union signature; validate the concrete class pair at ingestion time.
affects,Recommendation,Project,Union signature; validate the concrete class pair at ingestion time.
affects,Recommendation,Product,Union signature; validate the concrete class pair at ingestion time.
affects,Recommendation,Order,Union signature; validate the concrete class pair at ingestion time.
affects,Recommendation,Payment,Union signature; validate the concrete class pair at ingestion time.
affects,Recommendation,Delivery,Union signature; validate the concrete class pair at ingestion time.
records,AuditEvent,Entity,Union signature; validate the concrete class pair at ingestion time.
records,AuditEvent,ActionRequest,Union signature; validate the concrete class pair at ingestion time.
records,AuditEvent,AccessGrant,Union signature; validate the concrete class pair at ingestion time.
reads,AIJob,Entity,Union signature; validate the concrete class pair at ingestion time.
reads,AIJob,DocumentVersion,Union signature; validate the concrete class pair at ingestion time.
reads,AIJob,KnowledgeAssertion,Union signature; validate the concrete class pair at ingestion time.
delivered_to,Notification,UserAccount,Union signature; validate the concrete class pair at ingestion time.
delivered_to,Notification,Organization,Union signature; validate the concrete class pair at ingestion time.
